"","Global_active_power","Global_reactive_power","Voltage","Sub_metering_1","Sub_metering_2","Sub_metering_3","Datetime"
"46",0.322,0.128,243.33,0,0,0,2007-02-01 00:45:00
"47",0.318,0.118,241.32,0,0,0,2007-02-01 00:46:00
"48",0.316,0.116,240.93,0,0,0,2007-02-01 00:47:00
"49",0.316,0.116,240.93,0,0,0,2007-02-01 00:48:00
"50",0.274,0.058,240.36,0,0,0,2007-02-01 00:49:00
"51",0.222,0,240.93,0,0,0,2007-02-01 00:50:00
"52",0.222,0,240.83,0,0,0,2007-02-01 00:51:00
"53",0.222,0,240.52,0,0,0,2007-02-01 00:52:00
"54",0.224,0,241.45,0,0,0,2007-02-01 00:53:00
"55",0.224,0,241.59,0,0,0,2007-02-01 00:54:00
"56",0.226,0,242.55,0,0,0,2007-02-01 00:55:00
"57",0.226,0,242.88,0,0,0,2007-02-01 00:56:00
"58",0.226,0,242.63,0,0,0,2007-02-01 00:57:00
"59",0.224,0,242.2,0,0,0,2007-02-01 00:58:00
"60",0.224,0,241.84,0,0,0,2007-02-01 00:59:00
"61",0.222,0,240.89,0,0,0,2007-02-01 01:00:00
"62",0.222,0,240.86,0,0,0,2007-02-01 01:01:00
"63",0.26,0,240.64,0,0,0,2007-02-01 01:02:00
"64",0.298,0.088,240.72,0,0,0,2007-02-01 01:03:00
"65",0.302,0.094,242.18,0,0,0,2007-02-01 01:04:00
"66",0.302,0.096,242.66,0,0,0,2007-02-01 01:05:00
"67",0.302,0.096,242.77,0,0,0,2007-02-01 01:06:00
"68",0.3,0.096,242.6,0,0,0,2007-02-01 01:07:00
"69",0.298,0.094,242.38,0,0,0,2007-02-01 01:08:00
"70",0.298,0.094,242.21,0,0,0,2007-02-01 01:09:00
"71",0.296,0.096,242.61,0,0,0,2007-02-01 01:10:00
"72",0.296,0.094,242.24,0,0,0,2007-02-01 01:11:00
"73",0.258,0,242.66,0,0,0,2007-02-01 01:12:00
"74",0.226,0,242.99,0,0,0,2007-02-01 01:13:00
"75",0.228,0,243.53,0,0,0,2007-02-01 01:14:00
"76",0.316,0.088,243.12,0,0,0,2007-02-01 01:15:00
"77",0.434,0.252,242.83,0,0,0,2007-02-01 01:16:00
"78",0.418,0.254,243.08,0,2,0,2007-02-01 01:17:00
"79",0.414,0.254,243.35,0,1,0,2007-02-01 01:18:00
"80",0.412,0.252,242.71,0,1,0,2007-02-01 01:19:00
"81",0.41,0.246,241.63,0,2,0,2007-02-01 01:20:00
"82",0.408,0.246,241.86,0,1,0,2007-02-01 01:21:00
"83",0.408,0.248,242.17,0,2,0,2007-02-01 01:22:00
"84",0.404,0.244,241.7,0,1,0,2007-02-01 01:23:00
"85",0.402,0.242,241.14,0,1,0,2007-02-01 01:24:00
"86",0.402,0.244,241.41,0,2,0,2007-02-01 01:25:00
"87",0.402,0.246,241.95,0,1,0,2007-02-01 01:26:00
"88",0.402,0.248,242.36,0,2,0,2007-02-01 01:27:00
"89",0.402,0.25,242.6,0,1,0,2007-02-01 01:28:00
"90",0.398,0.246,242.11,0,1,0,2007-02-01 01:29:00
"91",0.336,0.156,241.88,0,2,0,2007-02-01 01:30:00
"92",0.3,0.104,240.78,0,1,0,2007-02-01 01:31:00
"93",0.3,0.104,240.68,0,1,0,2007-02-01 01:32:00
"94",0.3,0.106,240.87,0,2,0,2007-02-01 01:33:00
"95",0.298,0.106,241,0,1,0,2007-02-01 01:34:00
"96",0.298,0.106,240.97,0,1,0,2007-02-01 01:35:00
"97",0.298,0.106,241.09,0,1,0,2007-02-01 01:36:00
"98",0.298,0.106,241.1,0,2,0,2007-02-01 01:37:00
"99",0.298,0.106,241.21,0,1,0,2007-02-01 01:38:00
"100",0.296,0.106,241.27,0,1,0,2007-02-01 01:39:00
"101",0.296,0.108,241.4,0,1,0,2007-02-01 01:40:00
"102",0.296,0.108,241.61,0,1,0,2007-02-01 01:41:00
"103",0.296,0.106,241.37,0,2,0,2007-02-01 01:42:00
"104",0.294,0.106,240.99,0,1,0,2007-02-01 01:43:00
"105",0.294,0.106,241.27,0,1,0,2007-02-01 01:44:00
"106",0.242,0,241.26,0,0,0,2007-02-01 01:45:00
"107",0.224,0,241.76,0,0,0,2007-02-01 01:46:00
"108",0.224,0,242.38,0,0,0,2007-02-01 01:47:00
"109",0.224,0,242.15,0,0,0,2007-02-01 01:48:00
"110",0.288,0.05,241.69,0,0,0,2007-02-01 01:49:00
"111",0.298,0.088,241.02,0,0,0,2007-02-01 01:50:00
"112",0.298,0.088,240.75,0,0,0,2007-02-01 01:51:00
"113",0.298,0.088,241.06,0,0,0,2007-02-01 01:52:00
"114",0.3,0.09,241.57,0,0,0,2007-02-01 01:53:00
"115",0.3,0.094,242.29,0,0,0,2007-02-01 01:54:00
"116",0.3,0.096,242.77,0,0,0,2007-02-01 01:55:00
"117",0.386,0.19,242.48,0,0,0,2007-02-01 01:56:00
"118",0.406,0.228,242.24,0,0,0,2007-02-01 01:57:00
"119",0.398,0.222,242.11,0,0,0,2007-02-01 01:58:00
"120",0.326,0.116,240.55,0,0,0,2007-02-01 01:59:00
"121",0.324,0.116,240.33,0,0,0,2007-02-01 02:00:00
"122",0.328,0.126,242.57,0,0,0,2007-02-01 02:01:00
"123",0.328,0.13,243.12,0,0,0,2007-02-01 02:02:00
"124",0.326,0.128,243.05,0,0,0,2007-02-01 02:03:00
"125",0.324,0.128,243.09,0,0,0,2007-02-01 02:04:00
"126",0.322,0.124,242.07,0,0,0,2007-02-01 02:05:00
"127",0.322,0.124,242.21,0,0,0,2007-02-01 02:06:00
"128",0.322,0.126,242.47,0,0,0,2007-02-01 02:07:00
"129",0.322,0.126,242.57,0,0,0,2007-02-01 02:08:00
"130",0.322,0.128,243.08,0,0,0,2007-02-01 02:09:00
"131",0.322,0.13,243.28,0,0,0,2007-02-01 02:10:00
"132",0.242,0,243.52,0,0,0,2007-02-01 02:11:00
"133",0.228,0,244.09,0,0,0,2007-02-01 02:12:00
"134",0.228,0,244.02,0,0,0,2007-02-01 02:13:00
"135",0.228,0,244.02,0,0,0,2007-02-01 02:14:00
"136",0.226,0,243.25,0,0,0,2007-02-01 02:15:00
"137",0.226,0,243.06,0,0,0,2007-02-01 02:16:00
"138",0.228,0,243.38,0,0,0,2007-02-01 02:17:00
"139",0.228,0,243.91,0,0,0,2007-02-01 02:18:00
"140",0.228,0,243.93,0,0,0,2007-02-01 02:19:00
"141",0.228,0,243.55,0,0,0,2007-02-01 02:20:00
"142",0.228,0,243.45,0,0,0,2007-02-01 02:21:00
"143",0.226,0,242.42,0,0,0,2007-02-01 02:22:00
"144",0.226,0,243.14,0,0,0,2007-02-01 02:23:00
"145",0.228,0,243.37,0,0,0,2007-02-01 02:24:00
"146",0.228,0,243.53,0,0,0,2007-02-01 02:25:00
"147",0.226,0,243.22,0,0,0,2007-02-01 02:26:00
"148",0.228,0,243.57,0,0,0,2007-02-01 02:27:00
"149",0.228,0,243.76,0,0,0,2007-02-01 02:28:00
"150",0.226,0,243.36,0,0,0,2007-02-01 02:29:00
"151",0.226,0,243.17,0,0,0,2007-02-01 02:30:00
"152",0.228,0,243.58,0,0,0,2007-02-01 02:31:00
"153",0.228,0,244.1,0,0,0,2007-02-01 02:32:00
"154",0.23,0,244.55,0,0,0,2007-02-01 02:33:00
"155",0.23,0,244.98,0,0,0,2007-02-01 02:34:00
"156",0.228,0,244.36,0,0,0,2007-02-01 02:35:00
"157",0.292,0.06,244.42,0,0,0,2007-02-01 02:36:00
"158",0.388,0.19,243.85,0,0,0,2007-02-01 02:37:00
"159",0.416,0.238,243.83,0,0,0,2007-02-01 02:38:00
"160",0.416,0.244,243.73,0,0,0,2007-02-01 02:39:00
"161",0.436,0.276,244.66,0,0,0,2007-02-01 02:40:00
"162",0.436,0.28,245.02,0,0,0,2007-02-01 02:41:00
"163",0.432,0.28,245.06,0,0,0,2007-02-01 02:42:00
"164",0.426,0.272,244.04,0,0,0,2007-02-01 02:43:00
"165",0.424,0.27,243.58,0,0,0,2007-02-01 02:44:00
"166",0.42,0.268,243.42,0,0,0,2007-02-01 02:45:00
"167",0.35,0.16,243.19,0,0,0,2007-02-01 02:46:00
"168",0.35,0.164,243.9,0,0,0,2007-02-01 02:47:00
"169",0.348,0.162,243.6,0,0,0,2007-02-01 02:48:00
"170",0.346,0.16,243.04,0,0,0,2007-02-01 02:49:00
"171",0.346,0.162,243.44,0,0,0,2007-02-01 02:50:00
"172",0.346,0.162,243.35,0,0,0,2007-02-01 02:51:00
"173",0.256,0,243.34,0,0,0,2007-02-01 02:52:00
"174",0.252,0,243.21,0,0,0,2007-02-01 02:53:00
"175",0.252,0,242.96,0,0,0,2007-02-01 02:54:00
"176",0.252,0,243.33,0,0,0,2007-02-01 02:55:00
"177",0.252,0,243.16,0,0,0,2007-02-01 02:56:00
"178",0.25,0,242.77,0,0,0,2007-02-01 02:57:00
"179",0.252,0,243.36,0,0,0,2007-02-01 02:58:00
"180",0.252,0,243.38,0,0,0,2007-02-01 02:59:00
"181",0.252,0,243.5,0,0,0,2007-02-01 03:00:00
"182",0.252,0,243.57,0,0,0,2007-02-01 03:01:00
"183",0.254,0,244.24,0,0,0,2007-02-01 03:02:00
"184",0.254,0,244.22,0,0,0,2007-02-01 03:03:00
"185",0.254,0,243.99,0,0,0,2007-02-01 03:04:00
"186",0.252,0,243.44,0,0,0,2007-02-01 03:05:00
"187",0.252,0,243.4,0,0,0,2007-02-01 03:06:00
"188",0.252,0,243.49,0,0,0,2007-02-01 03:07:00
"189",0.252,0,243.55,0,0,0,2007-02-01 03:08:00
"190",0.252,0,243.19,0,0,0,2007-02-01 03:09:00
"191",0.254,0,243.74,0,0,0,2007-02-01 03:10:00
"192",0.254,0,244.11,0,0,0,2007-02-01 03:11:00
"193",0.25,0,242.84,0,0,0,2007-02-01 03:12:00
"194",0.25,0,242.81,0,0,0,2007-02-01 03:13:00
"195",0.25,0,242.48,0,0,0,2007-02-01 03:14:00
"196",0.25,0,242.5,0,0,0,2007-02-01 03:15:00
"197",0.25,0,242.76,0,0,0,2007-02-01 03:16:00
"198",0.25,0,242.92,0,0,0,2007-02-01 03:17:00
"199",0.368,0.15,242.49,0,0,0,2007-02-01 03:18:00
"200",0.36,0.158,242.86,0,0,0,2007-02-01 03:19:00
"201",0.358,0.162,243.33,0,0,0,2007-02-01 03:20:00
"202",0.358,0.162,243.53,0,0,0,2007-02-01 03:21:00
"203",0.356,0.162,243.44,0,0,0,2007-02-01 03:22:00
"204",0.386,0.184,243.53,0,0,0,2007-02-01 03:23:00
"205",0.406,0.234,243,0,0,0,2007-02-01 03:24:00
"206",0.404,0.238,243.8,0,0,0,2007-02-01 03:25:00
"207",0.402,0.236,243.5,0,0,0,2007-02-01 03:26:00
"208",0.4,0.234,243.13,0,0,0,2007-02-01 03:27:00
"209",0.4,0.234,243.34,0,0,0,2007-02-01 03:28:00
"210",0.398,0.236,243.51,0,0,0,2007-02-01 03:29:00
"211",0.396,0.238,243.86,0,0,0,2007-02-01 03:30:00
"212",0.392,0.234,243.03,0,0,0,2007-02-01 03:31:00
"213",0.346,0.166,242.99,0,0,0,2007-02-01 03:32:00
"214",0.258,0,243.12,0,0,0,2007-02-01 03:33:00
"215",0.224,0,242.06,0,0,0,2007-02-01 03:34:00
"216",0.224,0,241.77,0,0,0,2007-02-01 03:35:00
"217",0.226,0,242.34,0,0,0,2007-02-01 03:36:00
"218",0.228,0,243.26,0,0,0,2007-02-01 03:37:00
"219",0.228,0,243.71,0,0,0,2007-02-01 03:38:00
"220",0.23,0,244.83,0,0,0,2007-02-01 03:39:00
"221",0.23,0,244.69,0,0,0,2007-02-01 03:40:00
"222",0.23,0,244.55,0,0,0,2007-02-01 03:41:00
"223",0.23,0,244.38,0,0,0,2007-02-01 03:42:00
"224",0.23,0,244.4,0,0,0,2007-02-01 03:43:00
"225",0.228,0,244.16,0,0,0,2007-02-01 03:44:00
"226",0.268,0,244.21,0,0,0,2007-02-01 03:45:00
"227",0.312,0.12,244.13,0,1,0,2007-02-01 03:46:00
"228",0.312,0.12,244.22,0,1,0,2007-02-01 03:47:00
"229",0.312,0.118,243.96,0,2,0,2007-02-01 03:48:00
"230",0.312,0.116,243.48,0,1,0,2007-02-01 03:49:00
"231",0.312,0.118,243.84,0,2,0,2007-02-01 03:50:00
"232",0.314,0.12,243.92,0,1,0,2007-02-01 03:51:00
"233",0.314,0.122,244.5,0,1,0,2007-02-01 03:52:00
"234",0.314,0.122,244.6,0,2,0,2007-02-01 03:53:00
"235",0.314,0.122,244.56,0,1,0,2007-02-01 03:54:00
"236",0.312,0.12,243.91,0,2,0,2007-02-01 03:55:00
"237",0.31,0.116,243.55,0,1,0,2007-02-01 03:56:00
"238",0.31,0.116,243.58,0,1,0,2007-02-01 03:57:00
"239",0.308,0.112,242.74,0,2,0,2007-02-01 03:58:00
"240",0.412,0.228,242.72,0,1,0,2007-02-01 03:59:00
"241",0.416,0.25,242.71,0,1,0,2007-02-01 04:00:00
"242",0.41,0.248,242.32,0,2,0,2007-02-01 04:01:00
"243",0.408,0.248,242.36,0,1,0,2007-02-01 04:02:00
"244",0.406,0.246,242.12,0,1,0,2007-02-01 04:03:00
"245",0.404,0.248,242.18,0,2,0,2007-02-01 04:04:00
"246",0.402,0.248,242.22,0,1,0,2007-02-01 04:05:00
"247",0.4,0.246,241.98,0,1,0,2007-02-01 04:06:00
"248",0.398,0.246,242.09,0,1,0,2007-02-01 04:07:00
"249",0.396,0.246,241.92,0,1,0,2007-02-01 04:08:00
"250",0.396,0.25,242.61,0,2,0,2007-02-01 04:09:00
"251",0.396,0.252,242.99,0,1,0,2007-02-01 04:10:00
"252",0.432,0.28,243.06,0,1,0,2007-02-01 04:11:00
"253",0.47,0.358,242.94,0,1,0,2007-02-01 04:12:00
"254",0.428,0.296,243.07,0,2,0,2007-02-01 04:13:00
"255",0.348,0.17,242.85,0,0,0,2007-02-01 04:14:00
"256",0.304,0.094,242.73,0,0,0,2007-02-01 04:15:00
"257",0.302,0.094,242.65,0,0,0,2007-02-01 04:16:00
"258",0.302,0.096,243.08,0,0,0,2007-02-01 04:17:00
"259",0.3,0.1,243.6,0,0,0,2007-02-01 04:18:00
"260",0.298,0.096,243.05,0,0,0,2007-02-01 04:19:00
"261",0.292,0.086,243.38,0,0,0,2007-02-01 04:20:00
"262",0.228,0,243.82,0,0,0,2007-02-01 04:21:00
"263",0.228,0,243.73,0,0,0,2007-02-01 04:22:00
"264",0.23,0,244.26,0,0,0,2007-02-01 04:23:00
"265",0.23,0,244.98,0,0,0,2007-02-01 04:24:00
"266",0.23,0,244.95,0,0,0,2007-02-01 04:25:00
"267",0.234,0,244.3,0,0,0,2007-02-01 04:26:00
"268",0.25,0,243.73,0,0,0,2007-02-01 04:27:00
"269",0.25,0,243.23,0,0,0,2007-02-01 04:28:00
"270",0.226,0,242.83,0,0,0,2007-02-01 04:29:00
"271",0.226,0,242.75,0,0,0,2007-02-01 04:30:00
"272",0.226,0,243,0,0,0,2007-02-01 04:31:00
"273",0.228,0,243.3,0,0,0,2007-02-01 04:32:00
"274",0.228,0,243.4,0,0,0,2007-02-01 04:33:00
"275",0.226,0,242.69,0,0,0,2007-02-01 04:34:00
"276",0.226,0,242.31,0,0,0,2007-02-01 04:35:00
"277",0.224,0,242.16,0,0,0,2007-02-01 04:36:00
"278",0.224,0,242.13,0,0,0,2007-02-01 04:37:00
"279",0.224,0,242.02,0,0,0,2007-02-01 04:38:00
"280",0.226,0,242.49,0,0,0,2007-02-01 04:39:00
"281",0.32,0.09,243.16,0,0,0,2007-02-01 04:40:00
"282",0.338,0.128,243.11,0,0,0,2007-02-01 04:41:00
"283",0.332,0.122,242.15,0,0,0,2007-02-01 04:42:00
"284",0.33,0.124,242.26,0,0,0,2007-02-01 04:43:00
"285",0.328,0.124,242.18,0,0,0,2007-02-01 04:44:00
"286",0.326,0.122,242.01,0,0,0,2007-02-01 04:45:00
"287",0.326,0.122,242.01,0,0,0,2007-02-01 04:46:00
"288",0.324,0.12,241.67,0,0,0,2007-02-01 04:47:00
"289",0.322,0.12,241.5,0,0,0,2007-02-01 04:48:00
"290",0.32,0.12,241.37,0,0,0,2007-02-01 04:49:00
"291",0.32,0.122,241.78,0,0,0,2007-02-01 04:50:00
"292",0.32,0.124,242.27,0,0,0,2007-02-01 04:51:00
"293",0.32,0.12,241.88,0,0,0,2007-02-01 04:52:00
"294",0.318,0.12,241.81,0,0,0,2007-02-01 04:53:00
"295",0.27,0.052,241.92,0,0,0,2007-02-01 04:54:00
"296",0.224,0,241.68,0,0,0,2007-02-01 04:55:00
"297",0.224,0,241.38,0,0,0,2007-02-01 04:56:00
"298",0.222,0,240.58,0,0,0,2007-02-01 04:57:00
"299",0.222,0,240.81,0,0,0,2007-02-01 04:58:00
"300",0.288,0.048,241.04,0,0,0,2007-02-01 04:59:00
"301",0.3,0.09,241.54,0,0,0,2007-02-01 05:00:00
"302",0.3,0.088,241.42,0,0,0,2007-02-01 05:01:00
"303",0.3,0.088,241.45,0,0,0,2007-02-01 05:02:00
"304",0.298,0.086,240.86,0,0,0,2007-02-01 05:03:00
"305",0.294,0.084,239.84,0,0,0,2007-02-01 05:04:00
"306",0.294,0.082,239.5,0,0,0,2007-02-01 05:05:00
"307",0.292,0.082,239.82,0,0,0,2007-02-01 05:06:00
"308",0.292,0.082,239.82,0,0,0,2007-02-01 05:07:00
"309",0.248,0,240.78,0,0,0,2007-02-01 05:08:00
"310",0.222,0,240.92,0,0,0,2007-02-01 05:09:00
"311",0.222,0,240.74,0,0,0,2007-02-01 05:10:00
"312",0.222,0,241.15,0,0,0,2007-02-01 05:11:00
"313",0.224,0,241.37,0,0,0,2007-02-01 05:12:00
"314",0.224,0,241.71,0,0,0,2007-02-01 05:13:00
"315",0.226,0,242.68,0,0,0,2007-02-01 05:14:00
"316",0.226,0,243.11,0,0,0,2007-02-01 05:15:00
"317",0.226,0,243.06,0,0,0,2007-02-01 05:16:00
"318",0.226,0,243.01,0,0,0,2007-02-01 05:17:00
"319",0.226,0,242.77,0,0,0,2007-02-01 05:18:00
"320",0.224,0,241.51,0,0,0,2007-02-01 05:19:00
"321",0.224,0,241.42,0,0,0,2007-02-01 05:20:00
"322",0.3,0.062,240.77,0,0,0,2007-02-01 05:21:00
"323",0.334,0.116,240.81,0,0,0,2007-02-01 05:22:00
"324",0.33,0.116,240.95,0,0,0,2007-02-01 05:23:00
"325",0.328,0.12,241.43,0,0,0,2007-02-01 05:24:00
"326",0.328,0.12,241.52,0,0,0,2007-02-01 05:25:00
"327",0.326,0.12,241.49,0,0,0,2007-02-01 05:26:00
"328",0.324,0.118,240.89,0,0,0,2007-02-01 05:27:00
"329",0.322,0.118,240.91,0,0,0,2007-02-01 05:28:00
"330",0.322,0.122,241.85,0,0,0,2007-02-01 05:29:00
"331",0.32,0.118,241.11,0,0,0,2007-02-01 05:30:00
"332",0.318,0.118,240.93,0,0,0,2007-02-01 05:31:00
"333",0.318,0.118,240.88,0,0,0,2007-02-01 05:32:00
"334",0.316,0.116,240.67,0,0,0,2007-02-01 05:33:00
"335",0.316,0.114,240.34,0,0,0,2007-02-01 05:34:00
"336",0.27,0.052,240.2,0,0,0,2007-02-01 05:35:00
"337",0.222,0,240.62,0,0,0,2007-02-01 05:36:00
"338",1.138,0,240.1,0,0,13,2007-02-01 05:37:00
"339",1.32,0,239.79,0,0,19,2007-02-01 05:38:00
"340",1.302,0,239.36,0,0,18,2007-02-01 05:39:00
"341",1.29,0,239.25,0,0,17,2007-02-01 05:40:00
"342",1.278,0,238.56,0,0,18,2007-02-01 05:41:00
"343",1.276,0,238.61,0,0,18,2007-02-01 05:42:00
"344",1.282,0,239.31,0,0,17,2007-02-01 05:43:00
"345",1.284,0,239.56,0,0,18,2007-02-01 05:44:00
"346",1.29,0,240.29,0,0,18,2007-02-01 05:45:00
"347",1.29,0,240.3,0,0,17,2007-02-01 05:46:00
"348",1.336,0,239.67,0,0,18,2007-02-01 05:47:00
"349",1.354,0.072,239.52,0,0,18,2007-02-01 05:48:00
"350",1.35,0.072,239.02,0,0,17,2007-02-01 05:49:00
"351",1.34,0.068,238.15,0,0,18,2007-02-01 05:50:00
"352",1.342,0.068,238.35,0,0,17,2007-02-01 05:51:00
"353",1.336,0.068,237.97,0,0,17,2007-02-01 05:52:00
"354",1.34,0.07,238.56,0,0,18,2007-02-01 05:53:00
"355",1.342,0.07,238.9,0,0,17,2007-02-01 05:54:00
"356",1.34,0.07,238.84,0,0,18,2007-02-01 05:55:00
"357",1.302,0,238.71,0,0,17,2007-02-01 05:56:00
"358",1.278,0,239.31,0,0,18,2007-02-01 05:57:00
"359",1.284,0,239.91,0,0,17,2007-02-01 05:58:00
"360",1.286,0,239.84,0,0,18,2007-02-01 05:59:00
"361",1.282,0,239.02,0,0,18,2007-02-01 06:00:00
"362",1.294,0,240.31,0,0,17,2007-02-01 06:01:00
"363",1.346,0,240.22,0,0,18,2007-02-01 06:02:00
"364",1.404,0.104,240.29,0,0,18,2007-02-01 06:03:00
"365",1.41,0.108,241.27,0,0,17,2007-02-01 06:04:00
"366",1.424,0.116,242.85,0,0,19,2007-02-01 06:05:00
"367",1.424,0.118,243.01,0,0,18,2007-02-01 06:06:00
"368",1.422,0.118,242.53,0,0,18,2007-02-01 06:07:00
"369",1.49,0.132,241.97,0,0,18,2007-02-01 06:08:00
"370",1.494,0.13,241.65,0,0,18,2007-02-01 06:09:00
"371",1.488,0.128,241.33,0,0,17,2007-02-01 06:10:00
"372",1.484,0.128,241,0,0,18,2007-02-01 06:11:00
"373",1.476,0.126,240.54,0,0,18,2007-02-01 06:12:00
"374",1.47,0.122,240.32,0,0,18,2007-02-01 06:13:00
"375",0.858,0.112,241.16,0,0,6,2007-02-01 06:14:00
"376",0.558,0.118,241.86,0,0,0,2007-02-01 06:15:00
"377",0.58,0.128,242.53,0,0,0,2007-02-01 06:16:00
"378",0.552,0.112,243.11,0,1,0,2007-02-01 06:17:00
"379",0.548,0.11,242.63,0,2,0,2007-02-01 06:18:00
"380",0.502,0.11,242.76,0,1,0,2007-02-01 06:19:00
"381",0.49,0.114,243.23,0,1,0,2007-02-01 06:20:00
"382",0.49,0.114,243.51,0,2,0,2007-02-01 06:21:00
"383",1.102,0.106,242.82,0,1,8,2007-02-01 06:22:00
"384",1.59,0.098,241.82,0,2,18,2007-02-01 06:23:00
"385",1.59,0.102,242.86,0,1,19,2007-02-01 06:24:00
"386",1.586,0.102,243.14,0,1,18,2007-02-01 06:25:00
"387",1.588,0.104,243.56,0,2,18,2007-02-01 06:26:00
"388",1.584,0.104,243.35,0,1,18,2007-02-01 06:27:00
"389",1.58,0.102,243.22,0,1,19,2007-02-01 06:28:00
"390",1.58,0.104,243.31,0,2,18,2007-02-01 06:29:00
"391",1.578,0.104,243.25,0,1,18,2007-02-01 06:30:00
"392",1.578,0.104,243.47,0,1,18,2007-02-01 06:31:00
"393",1.578,0.104,243.51,0,2,18,2007-02-01 06:32:00
"394",1.57,0.102,242.99,0,1,18,2007-02-01 06:33:00
"395",1.574,0.104,243.47,0,1,18,2007-02-01 06:34:00
"396",1.606,0.128,243.18,0,2,19,2007-02-01 06:35:00
"397",2.246,0.228,241.12,0,1,17,2007-02-01 06:36:00
"398",2.658,0.224,240.56,0,1,18,2007-02-01 06:37:00
"399",4.962,0.204,238.69,0,1,18,2007-02-01 06:38:00
"400",6.536,0.188,236.9,0,2,17,2007-02-01 06:39:00
"401",5.292,0.202,238.44,0,1,17,2007-02-01 06:40:00
"402",5.81,0.208,237.64,0,1,18,2007-02-01 06:41:00
"403",5.606,0.262,237.63,0,1,17,2007-02-01 06:42:00
"404",4.678,0.31,238.98,0,1,17,2007-02-01 06:43:00
"405",3.9,0.38,239.75,0,2,18,2007-02-01 06:44:00
"406",3.368,0.322,240.29,0,0,18,2007-02-01 06:45:00
"407",3.18,0.27,240.73,0,0,18,2007-02-01 06:46:00
"408",3.178,0.266,240.65,0,0,17,2007-02-01 06:47:00
"409",3.192,0.268,240.94,0,0,18,2007-02-01 06:48:00
"410",3.252,0.268,240.98,0,0,18,2007-02-01 06:49:00
"411",3.124,0.16,240.73,0,0,18,2007-02-01 06:50:00
"412",2.792,0.122,240.63,0,0,17,2007-02-01 06:51:00
"413",2.808,0.124,240.93,0,0,18,2007-02-01 06:52:00
"414",2.818,0.126,241.43,0,0,18,2007-02-01 06:53:00
"415",2.812,0.126,241.53,0,0,18,2007-02-01 06:54:00
"416",2.97,0.122,241.06,0,0,18,2007-02-01 06:55:00
"417",3.004,0.118,240.63,0,0,18,2007-02-01 06:56:00
